date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-06-29,181600,122648,45,21,39,20,9,3,0.001982378854625551,9.251101321585903e-4,0.002543865370817298,0.001304546344008871,3.9647577092511013e-4,1.3215859030837006e-4,0,13,0,0,169
2015-06-30,239768,157112,66,17,63,17,31,0,0.0022021287244336192,5.672149744753262e-4,0.0032079026427007484,8.656245226335354e-4,0.001034333188749124,0,0,14,0,0,196
2015-07-01,527448,308472,106,22,97,20,35,2,0.0016077414266430054,3.3368218288817094e-4,0.0025156254052231646,5.186856505614773e-4,5.30858018231181e-4,3.0334743898924632e-5,0,15,0,0,225
2015-07-02,300392,182808,90,13,83,12,36,1,0.002396868092359317,3.462142800074569e-4,0.0036322261607807096,5.251411316791387e-4,9.587472369437268e-4,2.66318676928813e-5,0,16,0,0,256
2015-07-03,215528,130752,197,23,173,23,135,6,0.007312274971233436,8.537173824282691e-4,0.010584924131179637,0.0014072442486539403,0.005010949853383319,2.2270888237259194e-4,0,17,0,0,289
2015-07-04,224680,143920,46,14,43,13,14,7,0.001637884991988606,4.984867366921844e-4,0.002390216787103947,7.226236798221234e-4,4.984867366921844e-4,2.492433683460922e-4,0,18,0,0,324
2015-07-05,342968,222528,74,12,73,12,33,2,0.001726108558232838,2.799094959296494e-4,0.002624388840954846,4.314063848144952e-4,7.697511138065359e-4,4.665158265494157e-5,0,19,0,0,361
2015-07-06,390456,260000,103,18,102,17,54,1,0.002110353023131928,3.687995574405311e-4,0.0031384615384615388,5.230769230769231e-4,0.0011063986723215931,2.0488864302251725e-5,0,20,0,0,400
2015-07-07,404504,245400,113,27,92,26,45,3,0.0022348357494610684,5.339873029685738e-4,0.0029991850040749796,8.475957620211899e-4,8.899788382809564e-4,5.933192255206376e-5,0,21,0,0,441
2015-07-08,267280,168904,49,13,45,12,21,2,0.0014666267584555522,3.891050583657588e-4,0.0021313882442097285,5.683701984559276e-4,6.285543250523796e-4,5.986231667165519e-5,0,22,0,0,484
2015-07-09,387672,239896,61,21,60,20,18,2,0.0012587960956685032,4.3335603293505846e-4,0.0020008670423850333,6.669556807950112e-4,3.7144802823005016e-4,4.127200313667224e-5,0,23,0,0,529
2015-07-10,261160,167656,43,19,39,17,10,3,0.0013172001837953745,5.820186858630724e-4,0.001860953380731975,8.111848069857326e-4,3.0632562413845916e-4,9.189768724153776e-5,0,24,0,0,576
2015-07-11,219384,147400,31,17,28,15,3,2,0.0011304379535426465,6.199175874266127e-4,0.001519674355495251,8.14111261872456e-4,1.093972213105787e-4,7.293148087371914e-5,0,25,0,0,625
2015-07-12,247168,149192,49,15,43,13,19,1,0.0015859658208182289,4.8549974106680473e-4,0.0023057536597136576,6.970883157273849e-4,6.149663386846193e-4,3.236664940445365e-5,0,26,0,0,676
2015-07-13,619312,351056,144,35,139,33,69,4,0.0018601286588989072,4.5211460459348437e-4,0.003167585798277198,7.5201677225286e-4,8.913116490557264e-4,5.167024052496964e-5,0,27,0,0,729
