date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-07-10,1678160,890960,572,107,547,102,282,20,0.002726796014682748,5.100824712780665e-4,0.004911556074346772,9.15866032145102e-4,0.0013443295037421938,9.534251799590027e-5,0,24,0,0,576
2015-07-11,1535456,700712,515,117,493,113,219,29,0.002683241981535127,6.095908967759415e-4,0.005628560664010321,0.0012901163388096678,0.0011410291144780442,1.5109517954275473e-4,0,25,0,0,625
2015-07-12,2073688,1082200,1223,343,1152,330,732,97,0.004718163966806964,0.0013232463128493774,0.008515985954537054,0.0024394751432267603,0.002823954230337447,3.742125141294158e-4,0,26,0,0,676
2015-07-13,2845640,1648160,2811,2136,2714,2104,1809,1519,0.00790261593174119,0.006004976033510915,0.013173478303077371,0.010212600718376857,0.005085674927257137,0.004270392600610056,0,27,0,0,729
2015-07-14,2187232,1346192,1498,1017,1427,980,813,572,0.005479071264502348,0.0037197700106801654,0.008480216789284144,0.005823834935878389,0.00297362145396556,0.0020921420315723254,0,28,0,0,784
2015-07-15,1700656,1036488,755,311,726,303,345,131,0.003551570688016859,0.0014629648794347594,0.0056035381017435805,0.002338666728413643,0.0016229031620739291,6.162327948744485e-4,0,29,0,0,841
2015-07-16,1362056,842296,578,196,561,196,270,91,0.003394867758741197,0.001151200831683866,0.005328293141603427,0.001861578352503158,0.001585837880380836,5.344861004246521e-4,0,30,0,0,900
2015-07-17,1877600,1210192,493,244,481,242,168,74,0.00210055389859395,0.0010396250532594801,0.0031796607480465908,0.0015997461559818607,7.158074137196421e-4,3.1529612270984235e-4,0,31,0,0,961
2015-07-18,2593968,1333824,975,241,930,231,407,46,0.0030069761847486168,7.43262831307094e-4,0.005577947315387938,0.0013854901396286167,0.0012552198022489098,1.4186759435737064e-4,0,32,0,0,1024
2015-07-19,2390104,1241456,1021,390,944,377,513,228,0.0034174245137450084,0.0013053825272875156,0.006083179750228764,0.0024294054722841566,0.0017170800935858857,7.631467082603937e-4,0,33,0,0,1089
2015-07-20,2548512,1292552,1238,275,1160,260,453,119,0.00388618927436873,8.632488291206791e-4,0.007179595095593833,0.0016092195903917212,0.0014220062530606095,3.7355131151040294e-4,0,34,0,0,1156
2015-07-21,2999624,1478912,1215,316,1145,294,560,117,0.00324040613090174,8.427722941275306e-4,0.006193742426865155,0.0015903583174658128,0.0014935205212386617,3.12039108901649e-4,0,35,0,0,1225
