date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-07-02,73176,363686,121,5,105,4,6,1,3.32704585824035e-4,1.3748123381158471e-5,0.0014348966874385045,5.466273095003826e-5,1.6497748057390166e-5,2.7496246762316945e-6,0,18,0,324,0
2015-07-03,69295,339979,68,6,56,3,4,0,2.0001235370419937e-4,1.7648148856252887e-5,8.081391153762897e-4,4.329316689515838e-5,1.1765432570835258e-5,0,0,19,0,361,0
2015-07-04,67854,322823,69,1,58,1,4,0,2.1373941757557547e-4,3.097672718486601e-6,8.547764317505232e-4,1.4737524685353848e-5,1.2390690873946404e-5,0,0,20,0,400,0
2015-07-05,65220,311657,52,5,45,4,6,0,1.6685009481577504e-4,1.6043278347670676e-5,6.899724011039559e-4,6.133088009812941e-5,1.9251934017204812e-5,0,0,21,0,441,0
2015-07-06,72872,366958,50,6,43,5,3,1,1.3625537527455457e-4,1.635064503294655e-5,5.900757492589747e-4,6.861345921615984e-5,8.175322516473276e-6,2.7251075054910915e-6,0,22,0,484,0
2015-07-07,73046,372688,49,1,48,1,4,0,1.3147726784870992e-4,2.683209547932855e-6,6.571201708512445e-4,1.3690003559400925e-5,1.073283819173142e-5,0,0,23,0,529,0
2015-07-08,74004,377516,65,1,60,1,2,0,1.721781328473495e-4,2.648894351497685e-6,8.107669855683476e-4,1.3512783092805794e-5,5.29778870299537e-6,0,0,24,0,576,0
2015-07-09,74386,382108,57,9,51,8,7,3,1.4917248526594574e-4,2.355355030514933e-5,6.85612884144866e-4,1.075471190815476e-4,1.8319428015116146e-5,7.851183435049776e-6,0,25,0,625,0
2015-07-10,74135,385535,54,2,45,2,4,0,1.4006510433553374e-4,5.18759645687162e-6,6.070007418897956e-4,2.6977810750657584e-5,1.037519291374324e-5,0,0,26,0,676,0
2015-07-11,66986,329334,52,3,48,3,4,1,1.578944172177789e-4,9.109293301025706e-6,7.165676409996119e-4,4.478547756247574e-5,1.214572440136761e-5,3.0364311003419023e-6,0,27,0,729,0
2015-07-12,66240,329762,49,4,44,4,7,0,1.4859201484707153e-4,1.2129960395679308e-5,6.642512077294686e-4,6.038647342995169e-5,2.122743069243879e-5,0,0,28,0,784,0
2015-07-13,73283,381887,48,3,40,3,4,1,1.2569163129407391e-4,7.85572695587962e-6,5.458291827572561e-4,4.093718870679421e-5,1.0474302607839492e-5,2.618575651959873e-6,0,29,0,841,0
2015-07-14,74881,391650,70,0,64,0,4,0,1.7873100983020553e-4,0,8.546894405790521e-4,0,1.021320056172603e-5,0,0,30,0,900,0
2015-07-15,75026,396257,76,4,59,4,6,1,1.9179471908382692e-4,1.0094458899148785e-5,7.863940500626449e-4,5.3314850851704744e-5,1.5141688348723176e-5,2.5236147247871963e-6,0,31,0,961,0
2015-07-16,74921,385391,53,3,48,3,4,0,1.3752267178008827e-4,7.784302176231412e-6,6.406748441691915e-4,4.004217776057447e-5,1.0379069568308549e-5,0,0,32,0,1024,0
2015-07-17,73605,376874,57,1,53,1,2,0,1.512441824057908e-4,2.6534067088735227e-6,7.20059778547653e-4,1.3586033557502887e-5,5.306813417747045e-6,0,0,33,0,1089,0
