date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-07-17,73605,376874,94,7,67,7,8,0,2.4942023063411113e-4,1.857384696211466e-5,9.102642483526935e-4,9.51022349025202e-5,2.122725367098818e-5,0,0,33,0,1089,0
2015-07-18,66378,330487,64,2,54,2,3,0,1.9365360816007892e-4,6.051675255002466e-6,8.135225526529874e-4,3.013046491307361e-5,9.077512882503699e-6,0,0,34,0,1156,0
2015-07-19,65472,329376,65,2,49,1,9,0,1.9734285436704557e-4,6.072087826678325e-6,7.484115347018573e-4,1.5273704789833822e-5,2.7324395220052463e-5,0,0,35,0,1225,0
2015-07-20,73176,376020,65,5,57,5,7,1,1.728631455773629e-4,1.329716504441253e-5,7.789439160380453e-4,6.832841368754783e-5,1.8616031062177545e-5,2.659433008882506e-6,0,36,0,1296,0
2015-07-21,73809,379020,47,3,36,1,2,0,1.2400401034246214e-4,7.91514959632737e-6,4.8774539690281675e-4,1.3548483247300465e-5,5.27676639755158e-6,0,0,37,0,1369,0
2015-07-22,75514,402980,113,5,41,5,5,0,2.804109385081146e-4,1.2407563650801529e-5,5.429456789469503e-4,6.621288767645735e-5,1.2407563650801529e-5,0,0,38,0,1444,0
2015-07-23,76065,414875,52,1,41,1,3,0,1.253389575173245e-4,2.4103645676408555e-6,5.390126865181095e-4,1.3146650890685597e-5,7.2310937029225675e-6,0,0,39,0,1521,0
2015-07-24,73515,373341,48,3,44,3,5,1,1.285687883195256e-4,8.03554926997035e-6,5.98517309392641e-4,4.080799836768006e-5,1.3392582116617248e-5,2.6785164233234495e-6,0,40,0,1600,0
2015-07-25,67304,338098,41,2,38,2,0,0,1.2126661500511686e-4,5.915444634395945e-6,5.646024010460002e-4,2.971591584452633e-5,0,0,0,41,0,1681,0
2015-07-26,66247,342922,47,4,38,3,4,0,1.3705740664057717e-4,1.1664460139623588e-5,5.736108804927015e-4,4.52850695125817e-5,1.1664460139623588e-5,0,0,42,0,1764,0
2015-07-27,73271,384423,45,5,36,5,0,0,1.1705855268805456e-4,1.3006505854228286e-5,4.913267186199178e-4,6.823982203054415e-5,0,0,0,43,0,1849,0
2015-07-28,74902,398091,58,0,48,0,5,0,1.456953309670402e-4,0,6.408373608181357e-4,0,1.2559942324744844e-5,0,0,44,0,1936,0
2015-07-29,76355,412661,42,2,36,2,3,0,1.0177845737784767e-4,4.846593208468937e-6,4.714818937856067e-4,2.6193438543644817e-5,7.269889812703405e-6,0,0,45,0,2025,0
2015-07-30,75137,392540,54,1,46,1,3,0,1.375655984103531e-4,2.5475110816732053e-6,6.122150205624393e-4,1.3309022186139984e-5,7.642533245019615e-6,0,0,46,0,2116,0
2015-07-31,75372,408683,58,2,47,2,2,0,1.4191928707580202e-4,4.893768519855243e-6,6.235737409117444e-4,2.653505280475508e-5,4.893768519855243e-6,0,0,47,0,2209,0
2015-08-01,68004,344517,37,0,35,0,1,0,1.0739673223672561e-4,0,5.146756073172166e-4,0,2.902614384776368e-6,0,0,48,0,2304,0
2015-08-02,66832,342147,34,3,31,1,2,0,9.937249194059863e-5,8.768161053582232e-6,4.6384965286090494e-4,1.4962892027771127e-5,5.845440702388155e-6,0,0,49,0,2401,0
2015-08-03,72247,370507,44,2,40,2,3,0,1.1875619084119868e-4,5.3980086745999405e-6,5.536562071781527e-4,2.7682810358907636e-5,8.09701301189991e-6,0,0,50,0,2500,0
2015-08-04,74365,396618,42,5,32,3,4,0,1.0589534514318564e-4,1.2606588707522099e-5,4.3030995764136354e-4,4.034155852887783e-5,1.0085270966017679e-5,0,0,51,0,2601,0
2015-08-05,74949,390594,40,2,33,2,4,0,1.0240812710896737e-4,5.120406355448368e-6,4.402994035944442e-4,2.6684812339057225e-5,1.0240812710896736e-5,0,0,52,0,2704,0
2015-08-06,75483,402169,63,6,55,6,3,0,1.566505623257884e-4,1.491910117388461e-5,7.286408860273174e-4,7.948809665752554e-5,7.459550586942305e-6,0,0,53,0,2809,0
2015-08-07,76189,415617,48,4,34,3,2,0,1.1549094478811021e-4,9.624245399009185e-6,4.462586462612713e-4,3.937576290540629e-5,4.812122699504592e-6,0,0,54,0,2916,0
2015-08-08,68207,341972,63,3,49,3,4,0,1.842256091141965e-4,8.772648053056976e-6,7.184013371061621e-4,4.398375533303034e-5,1.1696864070742635e-5,0,0,55,0,3025,0
2015-08-09,66631,342516,46,2,36,2,3,1,1.3430029546065002e-4,5.839143280897827e-6,5.402890546442347e-4,3.001605859134637e-5,8.75871492134674e-6,2.9195716404489135e-6,0,56,0,3136,0
2015-08-10,73452,392510,66,7,49,5,5,0,1.6814858220172736e-4,1.783394053654684e-5,6.671023253281054e-4,6.807166584980668e-5,1.2738528954676313e-5,0,0,57,0,3249,0
2015-08-11,75579,406674,60,0,41,0,3,0,1.475383230794199e-4,0,5.424787308643935e-4,0,7.376916153970994e-6,0,0,58,0,3364,0
2015-08-12,76245,411389,52,4,49,4,1,0,1.2640104621173634e-4,9.723157400902796e-6,6.4266509279297e-4,5.2462456554528165e-5,2.430789350225699e-6,0,0,59,0,3481,0
2015-08-13,75721,398645,64,2,56,2,4,0,1.6054384226567498e-4,5.016995070802343e-6,7.395570581476737e-4,2.6412752076702632e-5,1.0033990141604686e-5,0,0,60,0,3600,0
2015-08-14,75315,393530,33,2,33,2,3,1,8.385637689629761e-5,5.082204660381674e-6,4.38159729137622e-4,2.6555135099249817e-5,7.62330699057251e-6,2.541102330190837e-6,0,61,0,3721,0
2015-08-15,68575,356304,71,3,55,3,4,0,1.9926804077417037e-4,8.419776370739593e-6,8.020415603353991e-4,4.374772147283995e-5,1.1226368494319457e-5,0,0,62,0,3844,0
2015-08-16,67558,360106,55,2,47,2,1,0,1.5273280645143375e-4,5.553920234597591e-6,6.956985109091448e-4,2.9604191953580628e-5,2.7769601172987954e-6,0,0,63,0,3969,0
2015-08-17,73960,404542,43,3,38,3,4,1,1.0629304250238541e-4,7.415793662957122e-6,5.137912385073012e-4,4.0562466197944834e-5,9.887724883942829e-6,2.4719312209857072e-6,0,64,0,4096,0
2015-08-18,75009,405745,50,8,35,3,4,0,1.232301075798839e-4,1.9716817212781426e-5,4.6661067338586037e-4,3.999520057593089e-5,9.858408606390713e-6,0,0,65,0,4225,0
