date,hillary_tpd,trump_tpd,hillary_upd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,45130,185869,27121,123308,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2015-06-18,34157,239572,22442,155849,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
2015-06-19,34370,158757,20666,106903,1,0,1,0,1,0,2.909514111143439e-5,0,4.838865769863544e-5,0,2.909514111143439e-5,0,0,3,0,9,0
2015-06-20,35238,124724,22292,93928,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0
2015-06-21,26170,71790,16831,52531,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0
2015-06-22,25385,62404,16279,45764,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0
2015-06-23,38508,50630,24771,38703,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0
2015-06-24,40162,59852,27105,44742,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,64,0
2015-06-25,34803,173344,23551,106682,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,81,0
2015-06-26,75397,179412,54932,111224,3,1,3,1,0,0,3.9789381540379594e-5,1.326312718012653e-5,5.461297604310784e-5,1.8204325347702613e-5,0,0,0,10,0,100,0
2015-06-27,28821,141857,19520,91458,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,121,0
2015-06-28,23059,96840,15879,67562,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,144,0
2015-06-29,22700,250334,15331,150343,2,1,2,1,0,0,8.81057268722467e-5,4.405286343612335e-5,1.3045463440088708e-4,6.522731720044354e-5,0,0,0,13,0,169,0
2015-06-30,29971,310688,19639,183127,1,0,1,0,1,0,3.3365586733842714e-5,0,5.091908956667855e-5,0,3.3365586733842714e-5,0,0,14,0,196,0
2015-07-01,65931,307686,38559,181455,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,225,0
2015-07-02,37549,315123,22851,181043,1,0,1,0,1,0,2.66318676928813e-5,0,4.376176097326157e-5,0,2.66318676928813e-5,0,0,16,0,256,0
2015-07-03,26941,227649,16344,144096,4,0,4,0,2,0,1.4847258824839463e-4,0,2.447381302006853e-4,0,7.423629412419731e-5,0,0,17,0,289,0
2015-07-04,28085,163256,17990,95956,1,1,1,1,0,0,3.5606195478013175e-5,3.5606195478013175e-5,5.558643690939411e-5,5.558643690939411e-5,0,0,0,18,0,324,0
2015-07-05,42871,161806,27816,96182,2,0,2,0,1,0,4.665158265494157e-5,0,7.19010641357492e-5,0,2.3325791327470786e-5,0,0,19,0,361,0
2015-07-06,48807,182295,32500,115760,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,400,0
2015-07-07,50563,207599,30675,124396,1,0,1,0,1,0,1.977730751735459e-5,0,3.2599837000814995e-5,0,1.977730751735459e-5,0,0,21,0,441,0
