date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-07-21,374953,184864,207,138,185,123,75,62,5.520691926721483e-4,3.680461284480988e-4,0.0010007356759563788,6.65353989960187e-4,2.0002506980874935e-4,1.6535405770856613e-4,0,35,0,1225,0
2015-07-22,306448,164409,122,56,114,55,35,19,3.9810995666475225e-4,1.827389965018535e-4,6.93392697480065e-4,3.345315645737156e-4,1.1421187281365843e-4,6.200073095598601e-5,0,36,0,1296,0
2015-07-23,364702,196448,100,52,98,50,26,16,2.741964672527159e-4,1.4258216297141228e-4,4.988597491448119e-4,2.545202801759244e-4,7.129108148570614e-5,4.387143476043455e-5,0,37,0,1369,0
2015-07-24,232124,135070,69,44,65,41,12,7,2.97254915476211e-4,1.895538591442505e-4,4.8123195380173246e-4,3.0354630932109274e-4,5.169650703934104e-5,3.015629577294894e-5,0,38,0,1444,0
2015-07-25,152287,84262,57,20,49,18,13,2,3.7429327519748897e-4,1.313309737535049e-4,5.815195461773991e-4,2.136194251263915e-4,8.536513293977818e-5,1.313309737535049e-5,0,39,0,1521,0
2015-07-26,160889,83248,50,22,47,22,10,3,3.107732660405621e-4,1.3674023705784733e-4,5.645781280030752e-4,2.642706131078224e-4,6.215465320811243e-5,1.8646395962433727e-5,0,40,0,1600,0
2015-07-27,172456,96164,63,21,51,20,20,0,3.6531057197198126e-4,1.2177019065732709e-4,5.303439956740568e-4,2.0797803751923798e-4,1.1597161014983532e-4,0,0,41,0,1681,0
2015-07-28,243883,130794,80,35,77,33,29,4,3.280261436836516e-4,1.4351143786159757e-4,5.887120204290717e-4,2.5230515161245927e-4,1.189094770853237e-4,1.640130718418258e-5,0,42,0,1764,0
2015-07-29,207382,115840,345,278,131,88,60,45,0.0016635966477322043,0.0013405213567233415,0.0011308701657458565,7.596685082872928e-4,2.893211561273399e-4,2.169908670955049e-4,0,43,0,1849,0
2015-07-30,195376,111224,72,43,71,43,31,24,3.685201867168946e-4,2.2008844484481207e-4,6.383514349420988e-4,3.8660720707760915e-4,1.5866841372532962e-4,1.2284006223896486e-4,0,44,0,1936,0
2015-07-31,149325,87855,46,25,43,22,21,13,3.080529047379876e-4,1.6742005692281934e-4,4.894428319389903e-4,2.50412611689716e-4,1.4063284781516827e-4,8.705842959986606e-5,0,45,0,2025,0
2015-08-01,106443,63909,34,20,33,19,7,4,3.194197833582293e-4,1.878939902107231e-4,5.163591982349904e-4,2.9729772019590353e-4,6.576289657375309e-5,3.757879804214462e-5,0,46,0,2116,0
2015-08-02,125589,73272,56,25,53,25,18,7,4.458989242688452e-4,1.9906201976287733e-4,7.23332241511082e-4,3.411944535429632e-4,1.4332465422927168e-4,5.573736553360565e-5,0,47,0,2209,0
2015-08-03,156202,86724,38,15,34,14,9,1,2.4327473399828427e-4,9.602950026248064e-5,3.920483372538167e-4,1.6143166828098336e-4,5.761770015748838e-5,6.401966684165375e-6,0,48,0,2304,0
2015-08-04,212702,122672,142,89,129,79,65,53,6.676006807646379e-4,4.18425778789104e-4,0.0010515847137080997,6.439937394026346e-4,3.0559186091339057e-4,2.491749019755338e-4,0,49,0,2401,0
2015-08-05,189473,107461,76,30,60,28,12,3,4.0111255957313177e-4,1.583339050946573e-4,5.583420962023432e-4,2.605596448944268e-4,6.333356203786292e-5,1.583339050946573e-5,0,50,0,2500,0
2015-08-06,112618,68662,30,6,29,6,10,0,2.6638725603367135e-4,5.327745120673427e-5,4.223588010835688e-4,8.738457953453148e-5,8.879575201122378e-5,0,0,51,0,2601,0
2015-08-07,1052480,494723,993,631,953,612,631,411,9.434858619641228e-4,5.995363332319854e-4,0.001926330492012702,0.001237055887840266,5.995363332319854e-4,3.9050623289753724e-4,0,52,0,2704,0
2015-08-08,576309,244205,816,450,761,437,538,301,0.0014159070915082013,7.808311166405522e-4,0.003116234311336787,0.0017894801498740812,9.335269794502602e-4,5.222892580195694e-4,0,53,0,2809,0
2015-08-09,416290,181172,281,130,260,117,105,37,6.750102092291431e-4,3.122823032020947e-4,0.0014351003466319299,6.457951559843684e-4,2.522280141247688e-4,8.888034783444234e-5,0,54,0,2916,0
2015-08-10,379323,178963,400,243,382,235,239,146,0.0010545102722481895,6.406149903907751e-4,0.002134519425803099,0.0013131205891720634,6.300698876682933e-4,3.848962493705892e-4,0,55,0,3025,0
2015-08-11,371747,176163,165,66,156,63,59,14,4.438502529946442e-4,1.775401011978577e-4,8.855435023245517e-4,3.576233374772228e-4,1.5871009046475155e-4,3.766002146621223e-5,0,56,0,3136,0
2015-08-12,301292,153464,116,54,109,52,40,22,3.8500856312149014e-4,1.7922812421172817e-4,7.102642965125371e-4,3.38841682739926e-4,1.32761573490169e-4,7.301886541959295e-5,0,57,0,3249,0
2015-08-13,212582,113107,88,22,87,22,35,7,4.139579080072631e-4,1.0348947700181577e-4,7.691831628458009e-4,1.9450608715640942e-4,1.64642349775616e-4,3.29284699551232e-5,0,58,0,3364,0
2015-08-14,182053,100229,47,24,43,21,7,4,2.5816657786468774e-4,1.3182974188835118e-4,4.2901754981093296e-4,2.0952019874487425e-4,3.845034138410243e-5,2.1971623648058533e-5,0,59,0,3481,0
2015-08-15,186967,93845,59,27,57,25,15,3,3.155637091037456e-4,1.4441051094578187e-4,6.073845170227502e-4,2.6639671799243435e-4,8.022806163654548e-5,1.6045612327309096e-5,0,60,0,3600,0
2015-08-16,245755,112683,69,25,69,25,13,4,2.8076743097800656e-4,1.0172733006449513e-4,6.123372647160619e-4,2.218613277956746e-4,5.2898211633537464e-5,1.627637281031922e-5,0,61,0,3721,0
2015-08-17,291678,135884,82,24,72,20,18,1,2.8113193315916865e-4,8.228251702219571e-5,5.298637072797386e-4,1.4718436313326073e-4,6.171188776664678e-5,3.4284382092581545e-6,0,62,0,3844,0
2015-08-18,326460,164851,1096,61,1089,61,1015,21,0.0033572260001225266,1.86852906941126e-4,0.006605965386925163,3.700311190105004e-4,0.0031091098450039822,6.432641058628929e-5,0,63,0,3969,0
2015-08-19,307124,164673,596,125,584,124,529,96,0.0019405842591266069,4.0700173219937225e-4,0.0035464223035956105,7.530074754209859e-4,0.0017224313306677434,3.1257733032911787e-4,0,64,0,4096,0
2015-08-20,393088,206136,299,92,286,89,205,44,7.606439270595897e-4,2.340442852491045e-4,0.001387433539022781,4.3175379361198434e-4,5.215117225659395e-4,1.1193422338000651e-4,0,65,0,4225,0
2015-08-21,334594,173852,177,55,164,54,98,19,5.289993245545348e-4,1.6437832118926222e-4,9.43331109219336e-4,3.1060902376734236e-4,2.928922813917763e-4,5.678523822901785e-5,0,66,0,4356,0
2015-08-22,392028,193249,188,52,179,49,94,11,4.7955758262164947e-4,1.3264358668258389e-4,9.262661126318894e-4,2.535588799942044e-4,2.3977879131082473e-4,2.8059220259777363e-5,0,67,0,4489,0
2015-08-23,299780,174616,106,32,103,31,49,6,3.5359263459870574e-4,1.067449462939489e-4,5.898657625876208e-4,1.77532413982682e-4,1.6345319901260924e-4,2.0014677430115416e-5,0,68,0,4624,0
2015-08-24,290128,168661,236,157,224,154,178,130,8.134340704792367e-4,5.411404621408482e-4,0.0013281078613313095,9.130741546652753e-4,6.135223073953565e-4,4.48078089670766e-4,0,69,0,4761,0
2015-08-25,490234,238574,225,104,210,99,78,25,4.5896449450670497e-4,2.1214358857198808e-4,8.802300334487412e-4,4.1496558719726374e-4,1.5910769142899104e-4,5.099605494518944e-5,0,70,0,4900,0
2015-08-26,1051509,517531,424,254,393,244,140,90,4.0323002465979843e-4,2.4155760911223774e-4,7.593748007365742e-4,4.7146934193314024e-4,1.3314198927446175e-4,8.559127881929683e-5,0,71,0,5041,0
2015-08-27,687001,407793,284,105,269,99,123,29,4.133909557628009e-4,1.5283820547568345e-4,6.596484000461018e-4,2.4277022901324937e-4,1.7903904070008632e-4,4.221245675042686e-5,0,72,0,5184,0
2015-08-28,536163,317011,166,76,160,74,54,16,3.09607339559052e-4,1.417479385933009e-4,5.047143474516657e-4,2.334303856963954e-4,1.0071564057945065e-4,2.9841671282800194e-5,0,73,0,5329,0
2015-08-29,436020,267253,150,70,141,67,55,22,3.440209164717215e-4,1.6054309435347002e-4,5.275899615719935e-4,2.506987760661246e-4,1.2614100270629788e-4,5.045640108251915e-5,0,74,0,5476,0
2015-08-30,393799,257159,211,61,202,58,124,14,5.358063377509846e-4,1.549013583071567e-4,7.855062432191756e-4,2.2554139656788213e-4,3.148814496735644e-4,3.5551131414757276e-5,0,75,0,5625,0
2015-08-31,664218,447710,1839,1673,1823,1667,1672,1580,0.0027686693224212534,0.0025187513737959526,0.004071832212816332,0.0037233923745281544,0.0025172458439849566,0.0023787371013733443,0,76,0,5776,0
2015-09-01,386534,237185,1289,1220,1279,1214,1201,1168,0.003334764858977477,0.003156255335882484,0.005392415203322301,0.005118367519025234,0.0031071005396679204,0.003021726419926837,0,77,0,5929,0
2015-09-02,318191,191271,419,363,416,361,360,335,0.0013168191432190099,0.0011408242219295957,0.002174924583444432,0.0018873744582294232,0.0011313959225748057,0.0010528267612848886,0,78,0,6084,0
2015-09-03,366476,203184,358,305,351,303,282,261,9.768716096006287e-4,8.322509523133848e-4,0.0017274982282069454,0.0014912591542641154,7.694910444340148e-4,7.12188519848503e-4,0,79,0,6241,0
2015-09-04,338103,178916,110,59,105,56,57,28,3.253446434962127e-4,1.7450303605705953e-4,5.868675803170203e-4,3.1299604283574413e-4,1.6858767890258293e-4,8.281500016267232e-5,0,80,0,6400,0
2015-09-05,288003,160448,83,55,79,55,31,26,2.8819144245025225e-4,1.9097023294896233e-4,4.923713601914639e-4,3.427901874750698e-4,1.076377676621424e-4,9.027683739405492e-5,0,81,0,6561,0
2015-09-06,271221,157369,87,44,77,41,28,18,3.207716216664639e-4,1.622293259002806e-4,4.89295858777777e-4,2.605341585699852e-4,1.03236843754724e-4,6.636654241375114e-5,0,82,0,6724,0
2015-09-07,260186,145843,95,52,88,47,51,32,3.6512341171315903e-4,1.998570253587818e-4,6.033885753858601e-4,3.2226435276290255e-4,1.9601362102495906e-4,1.2298893868232727e-4,0,83,0,6889,0
2015-09-08,235438,135296,55,31,52,30,13,9,2.3360714922824693e-4,1.3166948411046645e-4,3.8434247871333967e-4,2.2173604541154211e-4,5.521623527213109e-5,3.822662441916768e-5,0,84,0,7056,0
2015-09-09,279961,153343,104,58,95,53,37,17,3.714803133293566e-4,2.071717132029104e-4,6.195261603072849e-4,3.4563038417143266e-4,1.3216126531909801e-4,6.072274352499098e-5,0,85,0,7225,0
2015-09-10,359705,180867,164,92,159,90,90,57,4.559291641761999e-4,2.5576514087933167e-4,8.79099006452255e-4,4.976032111993896e-4,2.5020502912108535e-4,1.584631851100207e-4,0,86,0,7396,0
2015-09-11,279174,153329,93,40,90,39,30,11,3.331255775967676e-4,1.4327981832119036e-4,5.869731101096335e-4,2.543550143808412e-4,1.0745986374089278e-4,3.940195003832735e-5,0,87,0,7569,0
2015-09-12,261369,138363,132,74,130,74,74,41,5.050331141030497e-4,2.831246245729218e-4,9.395575406720005e-4,5.348250616132925e-4,2.831246245729218e-4,1.5686634604715938e-4,0,88,0,7744,0
