date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-07-09,266406,136579,33,7,33,7,20,0,1.2387108398459495e-4,2.6275684481580744e-5,2.4161840400061503e-4,5.125238872740319e-5,7.507338423308784e-5,0,0,23,0,529,0
2015-07-10,209770,111370,23,12,19,8,5,0,1.0964389569528531e-4,5.720551079754016e-5,1.7060249618389153e-4,7.183262997216486e-5,2.3835629498975066e-5,0,0,24,0,576,0
2015-07-11,191932,87589,30,8,26,8,12,0,1.5630535814767732e-4,4.1681428839380615e-5,2.968409275137289e-4,9.133567000422428e-5,6.252214325907092e-5,0,0,25,0,625,0
2015-07-12,259211,135275,38,27,33,23,7,6,1.4659871687544123e-4,1.041622462009714e-4,2.4394751432267603e-4,1.7002402513398632e-4,2.700502679284444e-5,2.314716582243809e-5,0,26,0,676,0
2015-07-13,355705,206020,57,46,49,38,8,7,1.6024514696166768e-4,1.2932064491643356e-4,2.3784098631200853e-4,1.8444811183380253e-4,2.2490546941988444e-5,1.967922857423989e-5,0,27,0,729,0
2015-07-14,273404,168274,33,19,31,19,9,5,1.207005018214803e-4,6.949422832145836e-5,1.8422335001247965e-4,1.1291108549151978e-4,3.291831867858553e-5,1.828795482143641e-5,0,28,0,784,0
2015-07-15,212582,129561,25,8,25,8,13,3,1.1760167841115428e-4,3.763253709156937e-5,1.9295930102422796e-4,6.174697632775295e-5,6.115287277380023e-5,1.4112201409338514e-5,0,29,0,841,0
2015-07-16,170257,105287,55,8,53,8,33,1,3.2304104970720736e-4,4.698778904832107e-5,5.033859830748335e-4,7.598278989808808e-5,1.9382462982432441e-4,5.873473631040134e-6,0,30,0,900,0
2015-07-17,234700,151274,33,19,33,19,14,9,1.406050276949297e-4,8.095440988495952e-5,2.1814720308843555e-4,1.2559990480849319e-4,5.9650617809970175e-5,3.834682573498083e-5,0,31,0,961,0
2015-07-18,324246,166728,31,8,31,8,17,0,9.5606422284315e-5,2.4672625105629677e-5,1.8593157717959792e-4,4.798234249796075e-5,5.242932834946306e-5,0,0,32,0,1024,0
2015-07-19,298763,155182,22,10,22,10,6,0,7.363696307775728e-5,3.3471346853526036e-5,1.41769019602789e-4,6.444046345581317e-5,2.0082808112115624e-5,0,0,33,0,1089,0
2015-07-20,318564,161569,26,10,25,10,9,1,8.161625293504602e-5,3.139086651347924e-5,1.547326529222809e-4,6.189306116891235e-5,2.8251779862131315e-5,3.139086651347924e-6,0,34,0,1156,0
2015-07-21,374953,184864,37,16,37,16,16,7,9.867903443898302e-5,4.26720148925332e-5,2.0014713519127576e-4,8.655011251514626e-5,4.26720148925332e-5,1.8669006515483272e-5,0,35,0,1225,0
2015-07-22,306448,164409,21,14,21,14,5,5,6.852712368819507e-5,4.5684749125463375e-5,1.2773023374632777e-4,8.51534891642185e-5,1.6315981830522634e-5,1.6315981830522634e-5,0,36,0,1296,0
2015-07-23,364702,196448,42,32,42,32,17,11,1.1516251624614069e-4,8.77428695208691e-5,2.1379703534777652e-4,1.6289297931259162e-4,4.6613399432961705e-5,3.016161139779875e-5,0,37,0,1369,0
2015-07-24,232124,135070,30,10,30,10,9,1,1.292412675983526e-4,4.30804225327842e-5,2.2210705560079958e-4,7.403568520026653e-5,3.877238027950578e-5,4.3080422532784205e-6,0,38,0,1444,0
2015-07-25,152287,84262,20,10,18,9,5,1,1.313309737535049e-4,6.566548687675245e-5,2.136194251263915e-4,1.0680971256319574e-4,3.283274343837622e-5,6.566548687675245e-6,0,39,0,1521,0
2015-07-26,160889,83248,3,0,3,0,1,0,1.8646395962433727e-5,0,3.603690178743033e-5,0,6.215465320811243e-6,0,0,40,0,1600,0
2015-07-27,172456,96164,16,5,15,5,3,0,9.277728811986825e-5,2.899290253745883e-5,1.5598352813942849e-4,5.1994509379809495e-5,1.7395741522475298e-5,0,0,41,0,1681,0
