date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-07-19,298763,155182,46,1,44,1,22,0,1.5396819552621977e-4,3.3471346853526038e-6,2.83538039205578e-4,6.444046345581317e-6,7.363696307775728e-5,0,0,33,0,1089,0
2015-07-20,318564,161569,30,5,24,1,3,0,9.417259954043771e-5,1.569543325673962e-5,1.4854334680538964e-4,6.189306116891235e-6,9.417259954043771e-6,0,0,34,0,1156,0
2015-07-21,374953,184864,39,3,37,2,13,0,1.0401303630054967e-4,8.001002792349975e-6,2.0014713519127576e-4,1.0818764064393283e-5,3.467101210018322e-5,0,0,35,0,1225,0
2015-07-22,306448,164409,27,1,27,1,11,0,8.810630188482222e-5,3.2631963661045265e-6,1.6422458624527854e-4,6.082392083158464e-6,3.58951600271498e-5,0,0,36,0,1296,0
2015-07-23,364702,196448,32,2,31,2,7,0,8.77428695208691e-5,5.483929345054319e-6,1.5780257370907313e-4,1.0180811207036976e-5,1.9193752707690113e-5,0,0,37,0,1369,0
2015-07-24,232124,135070,23,1,23,1,3,0,9.908497182540367e-5,4.3080422532784205e-6,1.7028207596061302e-4,7.403568520026653e-6,1.292412675983526e-5,0,0,38,0,1444,0
2015-07-25,152287,84262,22,2,22,2,4,0,1.4446407112885537e-4,1.313309737535049e-5,2.6109040848781184e-4,2.3735491680710166e-5,2.626619475070098e-5,0,0,39,0,1521,0
2015-07-26,160889,83248,23,0,23,0,5,0,1.4295570237865857e-4,0,2.7628291370363254e-4,0,3.107732660405621e-5,0,0,40,0,1600,0
2015-07-27,172456,96164,70,1,67,1,46,0,4.059006355244236e-4,5.798580507491766e-6,6.967264256894472e-4,1.0398901875961898e-5,2.6673470334462123e-4,0,0,41,0,1681,0
2015-07-28,243883,130794,53,2,50,2,23,1,2.1731732019041917e-4,8.20065359209129e-6,3.8228053274615045e-4,1.529122130984602e-5,9.430751630904983e-5,4.100326796045645e-6,0,42,0,1764,0
2015-07-29,207382,115840,49,0,48,0,16,0,2.362789441706609e-4,0,4.143646408839779e-4,0,7.715230830062397e-5,0,0,43,0,1849,0
2015-07-30,195376,111224,32,2,28,1,7,0,1.6378674965195316e-4,1.0236671853247073e-5,2.517442278644897e-4,8.990865280874631e-6,3.5828351486364756e-5,0,0,44,0,1936,0
2015-07-31,149325,87855,25,0,22,0,10,0,1.6742005692281934e-4,0,2.50412611689716e-4,0,6.696802276912774e-5,0,0,45,0,2025,0
2015-08-01,106443,63909,13,0,13,0,2,0,1.2213109363697002e-4,0,2.0341422960772347e-4,0,1.878939902107231e-5,0,0,46,0,2116,0
2015-08-02,125589,73272,15,0,15,0,3,0,1.1943721185772639e-4,0,2.0471667212577794e-4,0,2.388744237154528e-5,0,0,47,0,2209,0
2015-08-03,156202,86724,63,0,63,0,52,0,4.033239011024187e-4,0,7.264425072644251e-4,0,3.3290226757659954e-4,0,0,48,0,2304,0
2015-08-04,212702,122672,21,5,20,5,12,4,9.872967814124926e-5,2.3507066224106965e-5,1.63036389722186e-4,4.07590974305465e-5,5.641695893785672e-5,1.8805652979285572e-5,0,49,0,2401,0
2015-08-05,189473,107461,21,0,20,0,3,0,1.108337335662601e-4,0,1.8611403206744774e-4,0,1.583339050946573e-5,0,0,50,0,2500,0
2015-08-06,112618,68662,28,0,28,0,16,0,2.486281056314266e-4,0,4.0779470449448023e-4,0,1.4207320321795805e-4,0,0,51,0,2601,0
2015-08-07,1052480,494723,332,0,327,0,258,0,3.154454241410763e-4,0,6.609759400715147e-4,0,2.451352994831256e-4,0,0,52,0,2704,0
2015-08-08,576309,244205,120,0,118,0,69,0,2.0822163110414726e-4,0,4.832005896685162e-4,0,1.1972743788488467e-4,0,0,53,0,2809,0
2015-08-09,416290,181172,117,0,115,0,59,0,2.8105407288188524e-4,0,6.347559225487382e-4,0,1.4172812222248914e-4,0,0,54,0,2916,0
2015-08-10,379323,178963,42,1,40,1,17,0,1.107235785860599e-4,2.636275680620474e-6,2.235098875186491e-4,5.5877471879662275e-6,4.481668657054805e-5,0,0,55,0,3025,0
2015-08-11,371747,176163,31,1,29,1,5,0,8.33900475323271e-5,2.690001533300874e-6,1.646202664577692e-4,5.67656091233687e-6,1.345000766650437e-5,0,0,56,0,3136,0
2015-08-12,301292,153464,31,0,30,0,8,0,1.0289021945488098e-4,0,1.9548558619611115e-4,0,2.6552314698033802e-5,0,0,57,0,3249,0
2015-08-13,212582,113107,18,0,18,0,5,0,8.467320845603109e-5,0,1.5914134403706225e-4,0,2.3520335682230858e-5,0,0,58,0,3364,0
2015-08-14,182053,100229,57,0,56,0,44,0,3.1309563698483407e-4,0,5.587205299863313e-4,0,2.4168786012864385e-4,0,0,59,0,3481,0
2015-08-15,186967,93845,32,0,30,0,13,0,1.711531981579637e-4,0,3.196760615909212e-4,0,6.953098675167276e-5,0,0,60,0,3600,0
2015-08-16,245755,112683,61,2,61,2,37,1,2.482146853573681e-4,8.13818640515961e-6,5.41341639821446e-4,1.7748906223653966e-5,1.5055644849545278e-4,4.069093202579805e-6,0,61,0,3721,0
2015-08-17,291678,135884,77,3,71,3,36,2,2.639897421128779e-4,1.0285314627774464e-5,5.225044891230756e-4,2.2077654469989107e-5,1.2342377553329356e-4,6.856876418516309e-6,0,62,0,3844,0
2015-08-18,326460,164851,72,17,70,16,34,17,2.2054769343870612e-4,5.207376095080561e-5,4.246258742743447e-4,9.705734269127879e-5,1.0414752190161122e-4,5.207376095080561e-5,0,63,0,3969,0
2015-08-19,307124,164673,94,6,90,6,36,6,3.060653026139279e-4,1.9536083145569867e-5,5.465376837732962e-4,3.643584558488641e-5,1.172164988734192e-4,1.9536083145569867e-5,0,64,0,4096,0
2015-08-20,393088,206136,125,3,121,3,67,3,3.179949527841094e-4,7.631878866818626e-6,5.869911126634843e-4,1.4553498661078122e-5,1.7044529469228265e-4,7.631878866818626e-6,0,65,0,4225,0
2015-08-21,334594,173852,124,1,121,1,80,0,3.705983968630639e-4,2.9886967488956767e-6,6.95994293997193e-4,5.752018958654488e-6,2.3909573991165412e-4,0,0,66,0,4356,0
2015-08-22,392028,193249,490,2,441,2,279,0,0.0012499107206628097,5.1016764108686115e-6,0.0022820299199478393,1.034934204057977e-5,7.116838593161713e-4,0,0,67,0,4489,0
2015-08-23,299780,174616,720,8,663,8,140,7,0.0024017612916138503,2.6686236573487225e-5,0.0037969029184038118,4.581481651165987e-5,4.670091400360264e-4,2.3350457001801322e-5,0,68,0,4624,0
2015-08-24,290128,168661,579,1,555,1,434,0,0.0019956708763028733,3.446754535928969e-6,0.003290624388566414,5.929052952371918e-6,0.0014958914685931726,0,0,69,0,4761,0
2015-08-25,490234,238574,268,5,247,4,159,2,5.466777090124308e-4,1.0199210989037888e-5,0.0010353181821992337,1.6766286351404595e-5,3.243349094514048e-4,4.0796843956151555e-6,0,70,0,4900,0
2015-08-26,1051509,517531,366,2,347,2,176,0,3.480712005318071e-4,1.9020284182065963e-6,6.704912362737692e-4,3.864502802730658e-6,1.673785008021805e-4,0,0,71,0,5041,0
2015-08-27,687001,407793,610,3,604,3,449,1,8.879171937158753e-4,4.366805870733812e-6,0.00148114361943437,7.356673606462102e-6,6.535652786531606e-4,1.4556019569112709e-6,0,72,0,5184,0
2015-08-28,536163,317011,1085,9,1063,9,946,5,0.002023638333864888,1.678594009657511e-5,0.003353195945882004,2.8390182044156196e-5,0.0017643888145955613,9.32552227587506e-6,0,73,0,5329,0
2015-08-29,436020,267253,611,3,595,3,507,2,0.0014013118664281455,6.88041832943443e-6,0.002226354802378271,1.1225318331319013e-5,0.0011627906976744186,4.586945552956287e-6,0,74,0,5476,0
2015-08-30,393799,257159,212,1,194,1,147,0,5.383457042806101e-4,2.5393665296255197e-6,7.543970850718816e-4,3.888644768411761e-6,3.732868798549514e-4,0,0,75,0,5625,0
2015-08-31,664218,447710,168,4,149,3,81,0,2.529290082472923e-4,6.02211924398315e-6,3.3280471733934913e-4,6.7007661209264925e-6,1.2194791469065879e-4,0,0,76,0,5776,0
2015-09-01,386534,237185,166,4,153,4,95,2,4.2945769324302647e-4,1.0348378150434373e-5,6.450660876530978e-4,1.686447287981955e-5,2.457739810728164e-4,5.174189075217187e-6,0,77,0,5929,0
2015-09-02,318191,191271,149,2,143,2,108,2,4.682722012879057e-4,6.285532903193365e-6,7.476303255590236e-4,1.0456368189636694e-5,3.394187767724417e-4,6.285532903193365e-6,0,78,0,6084,0
2015-09-03,366476,203184,1026,2,1017,1,958,0,0.0027996376297492877,5.457383293858261e-6,0.005005315379163714,4.921647373808962e-6,0.0026140865977581067,0,0,79,0,6241,0
2015-09-04,338103,178916,120,0,109,0,47,0,3.5492142926859567e-4,0,6.092244405195734e-4,0,1.3901089313019996e-4,0,0,80,0,6400,0
2015-09-05,288003,160448,62,0,60,0,28,0,2.152755353242848e-4,0,3.7395293179098523e-4,0,9.722120950128992e-5,0,0,81,0,6561,0
2015-09-06,271221,157369,62,1,59,1,38,0,2.2859586831403174e-4,3.687030134097286e-6,3.7491500867388114e-4,6.354491672438663e-6,1.4010714509569687e-4,0,0,82,0,6724,0
2015-09-07,260186,145843,71,0,69,0,38,0,2.7288170770141363e-4,0,4.7311149660936763e-4,0,1.460493646852636e-4,0,0,83,0,6889,0
2015-09-08,235438,135296,77,6,72,6,42,5,3.270500089195457e-4,2.548441627944512e-5,5.321665089877011e-4,4.434720908230842e-5,1.7839091395611584e-4,2.1237013566204265e-5,0,84,0,7056,0
2015-09-09,279961,153343,50,2,48,2,17,0,1.785963044852676e-4,7.143852179410704e-6,3.1302374415525977e-4,1.3042656006469158e-5,6.072274352499098e-5,0,0,85,0,7225,0
2015-09-10,359705,180867,54,0,54,0,19,0,1.501230174726512e-4,0,2.985619267196338e-4,0,5.282106170334024e-5,0,0,86,0,7396,0
2015-09-11,279174,153329,49,0,46,0,17,0,1.755177774434582e-4,0,3.0000847850047936e-4,0,6.089392278650591e-5,0,0,87,0,7569,0
2015-09-12,261369,138363,56,0,56,0,34,0,2.1425647264977865e-4,0,4.047324790587079e-4,0,1.3008428696593705e-4,0,0,88,0,7744,0
2015-09-13,219094,121043,58,5,53,5,23,4,2.6472655572494e-4,2.2821254803874137e-5,4.378609254562428e-4,4.130763447700404e-5,1.0497777209782103e-4,1.825700384309931e-5,0,89,0,7921,0
2015-09-14,277761,153159,37,0,36,0,14,0,1.3320804576596426e-4,0,2.350498501557205e-4,0,5.040304434387837e-5,0,0,90,0,8100,0
2015-09-15,368745,175044,111,2,104,1,65,0,3.010210307936379e-4,5.423802356642124e-6,5.941363314366674e-4,5.712849340737186e-6,1.7627357659086903e-4,0,0,91,0,8281,0
2015-09-16,445836,212957,81,2,77,1,34,0,1.8168115629962588e-4,4.4859544765339725e-6,3.6157534150086637e-4,4.695783655855407e-6,7.626122610107752e-5,0,0,92,0,8464,0
2015-09-17,1054329,558932,2265,4,2253,4,2158,2,0.002148285781762619,3.793882175298223e-6,0.004030901791273357,7.156505621435166e-6,0.0020467994335733914,1.8969410876491115e-6,0,93,0,8649,0
2015-09-18,462386,238661,386,3,376,2,336,0,8.348003616026437e-4,6.488085711937645e-6,0.0015754564005011293,8.380087236708133e-6,7.266655997370163e-4,0,0,94,0,8836,0
2015-09-19,374089,190185,225,6,221,4,176,3,6.014611496194756e-4,1.6038963989852682e-5,0.0011620264479322764,2.103215290375161e-5,4.704762770356787e-4,8.019481994926341e-6,0,95,0,9025,0
2015-09-20,314414,178744,133,5,127,5,100,3,4.2300915353642014e-4,1.5902599757008276e-5,7.105133598890032e-4,2.797296692476391e-5,3.180519951401655e-4,9.541559854204965e-6,0,96,0,9216,0
2015-09-21,309049,164727,67,0,66,0,39,0,2.167941006118771e-4,0,4.006629150048262e-4,0,1.2619358095318218e-4,0,0,97,0,9409,0
2015-09-22,192200,104860,81,7,75,6,54,6,4.2143600416233093e-4,3.6420395421436006e-5,7.152393667747473e-4,5.7219149341979784e-5,2.809573361082206e-4,3.121748178980229e-5,0,98,0,9604,0
2015-09-23,283563,143540,72,1,70,1,45,0,2.53911829117339e-4,3.526553182185264e-6,4.876689424550648e-4,6.966699177929497e-6,1.5869489319833688e-4,0,0,99,0,9801,0
2015-09-24,291339,140480,80,0,78,0,48,0,2.7459420125695497e-4,0,5.552391799544419e-4,0,1.6475652075417297e-4,0,0,100,0,10000,0
2015-09-25,311789,193143,151,0,151,0,136,0,4.8430188364567066e-4,0,7.818041554702992e-4,0,4.361924250053722e-4,0,0,101,0,10201,0
2015-09-26,204198,112429,58,1,57,1,37,0,2.8403804150873175e-4,4.897207612219512e-6,5.069866315630309e-4,8.894502308123349e-6,1.8119668165212196e-4,0,0,102,0,10404,0
2015-09-27,180508,101933,38,0,37,0,26,0,2.1051698539676912e-4,0,3.6298352839610334e-4,0,1.4403793737673677e-4,0,0,103,0,10609,0
2015-09-28,242208,117896,38,0,36,0,13,0,1.5688994583168186e-4,0,3.0535387120852277e-4,0,5.367287620557537e-5,0,0,104,0,10816,0
2015-09-29,223591,120780,35,2,29,2,14,0,1.565358176313e-4,8.944903864645715e-6,2.4010597781089584e-4,1.6559032952475575e-5,6.261432705252e-5,0,0,105,0,11025,0
