date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-27,141857,91458,20,17,20,17,7,5,1.4098705033942634e-4,1.1983899278851237e-4,2.1867961249972666e-4,1.8587767062476764e-4,4.9345467618799215e-5,3.5246762584856584e-5,0,11,0,121,0
2015-06-28,96840,67562,12,12,12,12,1,1,1.2391573729863693e-4,1.2391573729863693e-4,1.7761463544596075e-4,1.7761463544596075e-4,1.0326311441553078e-5,1.0326311441553078e-5,0,12,0,144,0
2015-06-29,250334,150343,23,20,23,20,1,1,9.187725199133957e-5,7.989326260116484e-5,1.529835110380929e-4,1.3302914003312426e-4,3.994663130058242e-6,3.994663130058242e-6,0,13,0,169,0
2015-06-30,310688,183127,14,13,14,13,2,1,4.506128334534967e-5,4.184262024925327e-5,7.644967700011467e-5,7.098898578582076e-5,6.4373261921928104e-6,3.2186630960964052e-6,0,14,0,196,0
2015-07-01,307686,181455,18,12,18,12,2,0,5.850119927458513e-5,3.9000799516390084e-5,9.919814830123171e-5,6.61320988674878e-5,6.500133252731681e-6,0,0,15,0,225,0
2015-07-02,315123,181043,34,25,33,24,7,3,1.0789437775090996e-4,7.93341012874338e-5,1.8227713858033726e-4,1.3256519169479075e-4,2.2213548360481462e-5,9.520092154492056e-6,0,16,0,256,0
2015-07-03,227649,144096,13,11,13,11,0,0,5.710545620670418e-5,4.832000140567277e-5,9.021763268931823e-5,7.633799689096158e-5,0,0,0,17,0,289,0
2015-07-04,163256,95956,18,18,15,15,3,3,1.1025628460822267e-4,1.1025628460822267e-4,1.5632164742173497e-4,1.5632164742173497e-4,1.8376047434703777e-5,1.8376047434703777e-5,0,18,0,324,0
2015-07-05,161806,96182,26,19,26,19,0,0,1.6068625390900214e-4,1.174245701642708e-4,2.703208500551039e-4,1.9754215965565283e-4,0,0,0,19,0,361,0
2015-07-06,182295,115760,12,9,12,9,0,0,6.582736772813297e-5,4.937052579609973e-5,1.0366275051831375e-4,7.774706288873532e-5,0,0,0,20,0,400,0
2015-07-07,207599,124396,19,16,19,16,2,2,9.152259885644921e-5,7.70716621949046e-5,1.5273803016174154e-4,1.2862149908357182e-4,9.633957774363076e-6,9.633957774363076e-6,0,21,0,441,0
2015-07-08,129766,76623,7,6,7,6,0,0,5.394325169921243e-5,4.623707288503922e-5,9.135638124322984e-5,7.830546963705414e-5,0,0,0,22,0,484,0
2015-07-09,266406,136579,57,51,56,50,40,38,2.1395914506430036e-4,1.91437129794374e-4,4.100191098192255e-4,3.660884909100228e-4,1.5014676846617568e-4,1.426394300428669e-4,0,23,0,529,0
2015-07-10,209770,111370,25,8,23,8,10,2,1.1917814749487534e-4,3.813700719836011e-5,2.0651881116997395e-4,7.183262997216486e-5,4.767125899795013e-5,9.534251799590028e-6,0,24,0,576,0
2015-07-11,191932,87589,30,22,30,22,11,5,1.5630535814767732e-4,1.1462392930829669e-4,3.4250876251584104e-4,2.5117309251161674e-4,5.7311964654148344e-5,2.6050893024612883e-5,0,25,0,625,0
2015-07-12,259211,135275,38,24,31,21,14,6,1.4659871687544123e-4,9.258866328975236e-5,2.2916281648493808e-4,1.552393272962484e-4,5.401005358568888e-5,2.314716582243809e-5,0,26,0,676,0
2015-07-13,355705,206020,68,63,66,62,10,9,1.9116964900690178e-4,1.77113057168159e-4,3.20357246869236e-4,3.009416561498884e-4,2.8113183677485558e-5,2.5301865309737e-5,0,27,0,729,0
2015-07-14,273404,168274,68,58,61,52,14,11,2.4871618557153514e-4,2.1214027592866234e-4,3.625040113148793e-4,3.090198129241594e-4,5.1206273500021944e-5,4.02335006071601e-5,0,28,0,784,0
2015-07-15,212582,129561,37,34,34,31,3,3,1.7405048404850834e-4,1.5993828263916984e-4,2.6242464939295004e-4,2.3926953327004267e-4,1.4112201409338514e-5,1.4112201409338514e-5,0,29,0,841,0
2015-07-16,170257,105287,26,23,26,23,12,12,1.5271031440704347e-4,1.3508989351392308e-4,2.469440671687863e-4,2.1845052095700323e-4,7.04816835724816e-5,7.04816835724816e-5,0,30,0,900,0
2015-07-17,234700,151274,19,13,18,12,2,1,8.095440988495952e-5,5.538985939497231e-5,1.1898938350278303e-4,7.932625566852202e-5,8.521516829995738e-6,4.260758414997869e-6,0,31,0,961,0
2015-07-18,324246,166728,57,48,53,46,17,16,1.7579245387761144e-4,1.4803575063377806e-4,3.1788301904898996e-4,2.7589846936327433e-4,5.242932834946306e-5,4.9345250211259355e-5,0,32,0,1024,0
2015-07-19,298763,155182,95,77,93,76,64,52,3.179777951084974e-4,2.577293707721505e-4,5.992963101390626e-4,4.897475222641802e-4,2.1421661986256664e-4,1.740510036383354e-4,0,33,0,1089,0
2015-07-20,318564,161569,89,76,87,74,65,60,2.7937871196996524e-4,2.385705855024422e-4,5.384696321695375e-4,4.580086526499514e-4,2.0404063233761505e-4,1.8834519908087543e-4,0,34,0,1156,0
2015-07-21,374953,184864,78,70,71,63,28,27,2.0802607260109933e-4,1.8669006515483274e-4,3.840661242859616e-4,3.4079106802838843e-4,7.467602606193309e-5,7.200902513114977e-5,0,35,0,1225,0
2015-07-22,306448,164409,69,62,65,60,37,36,2.2516054926121235e-4,2.0231817469848067e-4,3.953554854053002e-4,3.6494352498950787e-4,1.2073826554586749e-4,1.1747506917976296e-4,0,36,0,1296,0
2015-07-23,364702,196448,42,37,39,34,9,8,1.1516251624614069e-4,1.0145269288350489e-4,1.9852581853722104e-4,1.730737905196286e-4,2.4677682052744433e-5,2.1935717380217275e-5,0,37,0,1369,0
2015-07-24,232124,135070,28,18,27,18,12,8,1.2062518309179576e-4,7.754476055901156e-5,1.9989635004071963e-4,1.3326423336047975e-4,5.169650703934104e-5,3.4464338026227364e-5,0,38,0,1444,0
2015-07-25,152287,84262,16,11,16,11,2,0,1.0506477900280392e-4,7.223203556442769e-5,1.8988393344568133e-4,1.3054520424390592e-4,1.313309737535049e-5,0,0,39,0,1521,0
2015-07-26,160889,83248,15,8,14,7,3,0,9.323197981216864e-5,4.972372256648994e-5,1.6817220834134154e-4,8.408610417067077e-5,1.8646395962433727e-5,0,0,40,0,1600,0
2015-07-27,172456,96164,9,6,9,6,1,0,5.2187224567425894e-5,3.4791483044950596e-5,9.359011688365708e-5,6.239341125577139e-5,5.798580507491766e-6,0,0,41,0,1681,0
2015-07-28,243883,130794,39,31,38,31,22,18,1.5991274504578015e-4,1.2711013067741498e-4,2.905332048870743e-4,2.3701393030261327e-4,9.020718951300419e-5,7.380588232882161e-5,0,42,0,1764,0
2015-07-29,207382,115840,25,16,24,16,7,2,1.2055048171972496e-4,7.715230830062397e-5,2.0718232044198895e-4,1.3812154696132598e-4,3.3754134881522986e-5,9.644038537577996e-6,0,43,0,1849,0
2015-07-30,195376,111224,14,13,12,11,3,3,7.165670297272951e-5,6.653836704610597e-5,1.0789038337049557e-4,9.889951808962094e-5,1.5355007779870607e-5,1.5355007779870607e-5,0,44,0,1936,0
2015-07-31,149325,87855,12,7,12,7,4,3,8.03616273229533e-5,4.6877615938389416e-5,1.3658869728529964e-4,7.967674008309146e-5,2.6787209107651096e-5,2.0090406830738323e-5,0,45,0,2025,0
2015-08-01,106443,63909,12,6,11,6,2,1,1.1273639412643387e-4,5.6368197063216934e-5,1.721197327449968e-4,9.388349058818007e-5,1.878939902107231e-5,9.394699510536155e-6,0,46,0,2116,0
2015-08-02,125589,73272,13,7,9,7,1,1,1.0351225027669621e-4,5.573736553360565e-5,1.2283000327546675e-4,9.553444699202969e-5,7.962480790515093e-6,7.962480790515093e-6,0,47,0,2209,0
2015-08-03,156202,86724,11,5,9,5,0,0,7.042163352581913e-5,3.2009833420826876e-5,1.0377750103777501e-4,5.765416724320834e-5,0,0,0,48,0,2304,0
2015-08-04,212702,122672,22,12,20,12,2,0,1.0343109138607065e-4,5.641695893785672e-5,1.63036389722186e-4,9.78218338333116e-5,9.402826489642786e-6,0,0,49,0,2401,0
2015-08-05,189473,107461,21,15,21,15,7,7,1.108337335662601e-4,7.916695254732865e-5,1.9541973367082012e-4,1.395855240505858e-4,3.694457785542003e-5,3.694457785542003e-5,0,50,0,2500,0
2015-08-06,112618,68662,11,9,11,9,1,1,9.767532721234616e-5,7.99161768101014e-5,1.6020506247997436e-4,1.310768693017972e-4,8.879575201122378e-6,8.879575201122378e-6,0,51,0,2601,0
2015-08-07,1052480,494723,131,94,117,88,50,40,1.2446792338096686e-4,8.931286105199148e-5,2.3649597855769793e-4,1.778773172057899e-4,4.750684098510185e-5,3.8005472788081484e-5,0,52,0,2704,0
2015-08-08,576309,244205,73,47,61,44,18,11,1.2666815892168958e-4,8.155347218245768e-5,2.497901353371143e-4,1.8017649106283654e-4,3.123324466562209e-5,1.9086982851213498e-5,0,53,0,2809,0
2015-08-09,416290,181172,65,43,60,41,16,12,1.5614115160104736e-4,1.0329337721300056e-4,3.311770030689069e-4,2.263042854304197e-4,3.8434745009488574e-5,2.8826058757116433e-5,0,54,0,2916,0
2015-08-10,379323,178963,38,29,36,28,7,7,1.0017847586357801e-4,7.645199473799373e-5,2.011588987667842e-4,1.5645692126305436e-4,1.8453929764343316e-5,1.8453929764343316e-5,0,55,0,3025,0
2015-08-11,371747,176163,59,30,48,29,12,2,1.5871009046475155e-4,8.070004599902623e-5,2.7247492379216975e-4,1.646202664577692e-4,3.2280018399610485e-5,5.380003066601748e-6,0,56,0,3136,0
2015-08-12,301292,153464,45,15,39,15,15,3,1.4935677017644013e-4,4.978559005881338e-5,2.5413126205494447e-4,9.774279309805557e-5,4.978559005881338e-5,9.957118011762676e-6,0,57,0,3249,0
2015-08-13,212582,113107,14,11,12,11,2,2,6.58569399102464e-5,5.1744738500907885e-5,1.060942293580415e-4,9.725304357820471e-5,9.408134272892342e-6,9.408134272892342e-6,0,58,0,3364,0
2015-08-14,182053,100229,28,16,28,16,11,3,1.5380136553640972e-4,8.788649459223413e-5,2.7936026499316563e-4,1.596344371389518e-4,6.042196503216096e-5,1.6478717736043898e-5,0,59,0,3481,0
